S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
602,H037,LUPUS ANTICOAGULANT,"For PPP sample: 4 ml. (3 ml. Minimum) PPP
(Platelet Poor Plasma) from 2 Sodium Citrate tubes prepared within 1 hr of collection.
Aliquot PPP in 2 transport vials and FREEZE.","Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)",,Triggered Coagulation & Clot Detection,5.30 PM,Same Day,800,1850,43.2%
603,H040,LUPUS ANTICOAGULANT (CONFIRMATORY),2ml.(1ml. Minimum)Sodium Citrate Plasma/Serum,"Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)",,Triggered Coagulation & Clot Detection,5.30 PM,Same Day,1600,2550,62.7%
604,H546,LUPUS ANTICOAGULANT (dRVVT-RUSSELL VIPER VENOM TIME ),"For PPP sample: 4 ml. (3 ml. Minimum) PPP
(Platelet Poor Plasma) from 2 Sodium Citrate tubes prepared within 1 hr of collection.
Aliquot PPP in 2 transport vials and FREEZE.","Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)",,Viscosity based clot detection),5.30 PM,Same Day,900,2050,43.9%
605,C132,MAGNESIUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,150,500,30.0%
606,C1302,MAGNESIUM -  URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),2-8°C Specify age and sex on test requisition form,Spectrophotom etry,5.30 PM,Same Day,150,500,30.0%
607,C1303,MAGNESIUM - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,Spectrophotom etry,5.30 PM,Same Day,150,500,30.0%
608,H172,MALARIA ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,500,1250,40.0%
609,H038,MALARIAL FALCIPARUM AND VIVAX ANTIGEN (PARASITE V),"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),Do Not Freeze,Immunochrom atography,4.30 PM,Same Day,200,400,50.0%
610,H039,MALARIAL PARASITE SPECIES IDENTIFICATION,"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),,Leishman Staining & Microscopy,4.30 PM,Same Day,60,150,40.0%
611,H551,MALARIAL PARASITE(QBC),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Light microscopy,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
612,H108,MANTLE CELL LYMPHOMA MARKER:CYCLIN D1,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
613,H002,MANTOUX SKIN TEST,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Only for walk-in patients in main lab on working days.,Intradermal Skin Test,5.30 PM,2nd Working Day,130,300,43.3%
614,C221,MARIJUANA,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,325,650,50.0%
615,A057-E,MASSONS TRICHOME STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
616,H195,MDS IN-SITU BY FISH,Bone Marrow,Refrigerated(2-8°C),Brief clinical history mandatory,FISH,4.30 PM,5th Working Day,7550,11250,67.1%
617,H043,MEAN PLATELET VOLUME - MPV,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Coulter Principle (Impedance),5.30 PM,Same Day,115,250,46.0%
618,P026,MEASLES - PCR,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,2450,3850,63.6%
619,S090,MEASLES ANTIBODY IgG,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
620,S091,MEASLES ANTIBODY IGM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
621,H089,MEGAKARYOCYTIC MARKER : CD 61,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
622,S173,MENINGOCOCCAL ANTIGEN,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1350,2550,52.9%
623,C136,MERCURY,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),,AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
624,C135,MERCURY- HAIR,Hair,Refrigerated(2-8°C),,AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
625,C134,MERCURY -NAILS,Nails,Refrigerated(2-8°C),,AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
626,C133,MERCURY- URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),DO NOT FREEZE,AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
627,H188,METABOLIC SCREEN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemical Method,4.30 PM,10th Working Day,1450,2250,64.4%
628,H189,METABOLIC SCREEN (COMPREHENSIVE) - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemical Method,4.30 PM,10th Working Day,3050,4850,62.9%
629,C642,METANEPHRINE - FREE,2 ml. (1 ml. Minimum) Plasma from 1 Sodium EDTA Tube,Refrigerated(2-8°C),,EIA(EnzymeIm munoassay),4.30 PM,Next day Evening Except Sunday,1650,3050,54.1%
630,C191,METANEPHRINES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",AMBIENT (18-25° C),Do Not Freeze,"High Performance Liquid
Chromatograp",4.30 PM,Next day Evening Except Sunday,1550,2850,54.4%
631,C229,METHAMPHETAMINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),DO NOT FREEZE,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,400,850,47.1%
632,C330,METHYL MALONIC ACID (MMA),"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),DO NOT FREEZE,Enzyme linked immunosorben t assay (ELISA),4.30 PM,2nd  Working Day,1250,1950,64.1%
633,P093,METHYLENE TETRAHYDROFOLATE REDUCTASE (MTHFR),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,5th Working Day,4550,6850,66.4%
634,C137,MICROALBUMIN - 24hrs Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Specify age and sex ontest requisition form.,Immunoturbidi metry,5.30 PM,Same Day,150,500,30.0%
635,C249,MICROALBUMIN SPOT URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Immunoturbidi metry,5.30 PM,Same Day,150,500,30.0%
636,C013,MICROALBUMIN/CREATININE RATIO SPOT,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Immunoturbidi metry,5.30 PM,Same Day,175,550,31.8%
637,S167,MICROFILARIA ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunochrom atography,4.30 PM,Next day Evening Except Sunday,575,1250,46.0%
638,S055,MICROFILARIA ANTIGEN,2 ml. (1 ml. Minimum) Whole Blood from EDTA or Heparin .,Refrigerated(2-8°C),,Immunochrom atography,4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
639,M031,MICROFILARIA DETECTION,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Light microscopy,5.30 PM,Same Day,275,550,50.0%
640,C645,MILK ALLERGY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,ELISA,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
641,S174,MILK PROTEIN (CASEIN) IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
642,C1280,MINERAL(CALCIUM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,230,575,40.0%
643,H097,MISCELLANEOUS MARKER : HLA - DR,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
644,S243,MONTOUX,Walk in Patient,Refrigerated(2-8°C),"Only for walk-in patients in
main lab on working days Patient should refrain from ejaculation for  2-7 days",Skin Test,5.3,Next day Evening Except Sunday,100,230,43.5%
645,A057-I,MUCICARMINE STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
646,S092,MUMPS IGG ANTIBODY - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
647,S093,MUMPS IGM ANTIBODY - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
648,P027,MUMPS- PCR,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,2450,3850,63.6%
649,C1279,"MYASTHENIA GRAVIS PROFILE AChR,ASMA,MUSK ROFILE",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,IFA/ELISA/RIA,4.30 PM,3rd Working Day,12500,18500,67.6%
650,P016,MYCOBACTERIUM COMPLEX - PCR PERIPHERAL BLOOD (QUALITATIVE),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
651,P014,MYCOBACTERIUM COMPLEX - PCR BAL (QUALITATIVE),2ml. (1 ml. Minimum) BAL FLUID.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
652,P008,MYCOBACTERIUM COMPLEX - PCR CSF (QUALITATIVE),"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
653,P010,MYCOBACTERIUM COMPLEX - PCR PLEURAL FLUID (QUALITATIVE),2ml. (1 ml. Minimum) PLUERAL FLUID.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
654,P013,MYCOBACTERIUM COMPLEX - PCR SPUTUM (QUALITATIVE),"2 ml. (1 ml. Minimum)sputum sample  in a sterile, leak - proof screw capped, plastic container.",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
655,P012,MYCOBACTERIUM COMPLEX - PCR SYNOVIAL FLUID (QUALITATIVE),2 ml. (1 ml. Minimum) SYNOVIAL FLUID,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
656,P009,MYCOBACTERIUM COMPLEX - PCR TISSUE  (QUALITATIVE),Tissue,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
657,P017,MYCOBACTERIUM COMPLEX - PCR URINE,"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),Do not use preservatives,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
658,P011,MYCOBACTERIUM COMPLEX -PCR ASCITIC FLUID (QUALITATIVE),2ml. (1 ml. Minimum) ASCITIC FLUID.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
659,P015,MYCOBACTERIUM TUBERCULOSIS DNA PCR - QUALITATIVE,Any Sample,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,800,1800,44.4%
660,P040,MYCOBACTERIUM TUBERCULOSIS - GENE EXPERT,"2 ml. (1 ml. Minimum) Any Specimen except Blood and Swabs in a sterile, leak - proof screw capped, plastic container.",Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Real Time PCR,4.30 PM,3rd Working Day,1900,2750,69.1%
661,P032,MYCOBACTERIUM TUBERCULOSIS VIABLE PROKARYOTIC -mRNA PCR,Any Sample,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,1850,3250,56.9%
662,H076,MYELO MONOCYTIC CELL MARKER : CD 14,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
663,H090,MYELO MONOCYTIC CELL MARKER : CD 64,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
664,H074,MYELOID / HAIRY CELL / NHL DIFFERENTIATION,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
665,H095,"MYELOID CELL MARKER / GIST MARKER
: CD 15","2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
666,H075,MYELOID CELL MARKER : CD 13,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
667,H563,MYELOID CELL MARKER : CD 15,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
668,H084,MYELOID CELL MARKER : CD 33,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
669,H099,MYELOID CELL MARKER : MPO,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
670,H077,MYELOID CELL MARKER:CD 15,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
671,H193,MYELOMA IN - SITU,B.Marrow Heparinized,Refrigerated(2-8°C),,FISH/Gene Sequencing,4.30 PM,5th Working Day,7500,10800,69.4%
672,C139,MYOGLOBIN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,Nephelometry,4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
673,C242,MYOGLOBIN-SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Electro
Chemiluminesc ence Immunoassay",4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
674,H078,NATURAL KILLER CELL MARKER : CD 16,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
675,H088,NATURAL KILLER CELL MARKER : CD 56,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
676,H177,NESTROFT TEST (NAKED EYE SINGLE TUBE RED CELL OSMOTIC FRAGILITY TEST),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Spectrophotom etry (O.S.),4.30 PM,Next day Evening Except Sunday,300,850,35.3%
677,C248,NICOTINE/COTININE(URINE),"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,Lateral Flow Chromatograp hy,4.30 PM,Same Day,1350,2050,65.9%
678,S031,"NMO- ANTI-AQUAPORIN-4,IGG",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Indirect Immunofluores cence,4.30 PM,3rd Working Day,2550,4550,56.0%
679,S239,"NMO- ANTI-AQUAPORIN-4,IGG-CSF","2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Indirect Immunofluores cence,4.30 PM,3rd Working Day,2550,4550,56.0%
680,C393,NON-METANEPHRINE - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,1550,2850,54.4%
681,C230,OLIGOCLONAL BANDS CSF ELECTROPHORESIS BASED TEST,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),Do Not Freeze,Agarose Gel Electrophoresis,4.30 PM,3rd Working Day,3050,4850,62.9%
682,C141,OSMOLALITY - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,Freezing Point Depression,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
683,C140,OSMOLALITY-SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Freezing Point Depression,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
684,H044,OSMOTIC FRAGILITY TEST,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Do Not Freeze,Manual,4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
685,C312,OSTEOCALCIN,2 ml. (1 ml. Minimum) Serum,"FROZEN  (-20°C) in
dry ice.",Specify age and sex ontest requisition form.,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,1650,2450,67.3%
686,C200,OXALATE - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),"10 mL aliquot of 24 hrs Urine.Collect urine with
25 mL 50 % of concentrated
HCL to maintain",Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
687,H555,P/S FOR MICROFLARIA,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Light microscopy,4.30 PM,Same Day,115,250,46.0%
688,H194,P53 DELETION OR (DEL 17P),Bone Marrow,Refrigerated(2-8°C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,3850,6500,59.2%
689,H045,PACKED CELL VOULME,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Coulter Principle (Impedance),4.30 PM,Same Day,70,180,38.9%
690,H079,PAN B - CELL MARKER : CD 19,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
691,H080,PAN B - CELL MARKER : CD 20,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
692,H113,PAN B - CELL MARKER : CD 21,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
693,H081,PAN B - CELL MARKER : CD 22,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
694,H072,PAN T - CELL / EARLY MYELOID CELL MARKER : CD 7,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
695,H092,PAN T - CELL MARKER : CD 2,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
696,H091,PAN T - CELL MARKER : CD 3,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
697,S002,P-ANCA (MPO),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,550,1400,39.3%
698,C205,PAPP-A (PREGNANCY ASSOCIATED PARA PROTEIN-A),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex ontest requisition form.,EIA(EnzymeIm munoassay),4.30 PM,Next day Evening Except Sunday,900,1850,48.6%
699,C114,PARATHYROID HORMONE (PTH),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,525,1450,36.2%
700,S096,PARIETAL CELL ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.","IFA
(Immunofluore scenceAssay)",4.30 PM,Next day Evening Except Sunday,1550,2850,54.4%
701,H176,PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA (PNH) DIAGNOSTIC PANEL,3ml.(2ml. Minimum)EDTA/Heaprin Plasma/Serum,Refrigerated(2-8°C),,Flow Cytometry,4.30 PM,2nd Working Day,2550,4550,56.0%
702,S132,PARVOVIRUS B19 IGG ANTIBODIES - INFECTIOUS DISEASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,2050,3550,57.7%
703,S133,PARVOVIRUS B19 IGM ANTIBODIES - INFECTIOUS DISEASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,2050,3550,57.7%
704,A057-H,PAS STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
705,C094,PERITONEAL/ASCITIC FLUID ANALYSIS,2ml. (1 ml. Minimum) ASCITIC FLUID.,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry Microscopy,4.30 PM,Same Day,175,350,50.0%
706,A057-A,PERLS STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
707,C1306,PHENCYCLIDINE SCREEN - URINE - DRUG ASSAY,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,Lateral Flow Chromatograp hy,4.30 PM,Same Day,325,650,50.0%
708,C142,PHENOBARBITAL (GARDINAL),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,575,1050,54.8%
709,C143,PHENYTOIN (DILANTIN/EPTOIN/EPSOLIN) - DRUG ASSAY,2 ml.(1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc enceMicroparti cle
Immunoassay(",5.30 PM,Same Day,450,950,47.4%
710,R004,PHILADELPHIA CHROMOSOME SCREENING,(PLASMA) in 1 Sodium Citrate (Light Blue Top) tube/Heparin tube,Refrigerated(2-8°C),,Karyotyping,4.30 PM,15th Working Day,2050,3050,67.2%
711,C144,PHOSPHORUS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,60,150,40.0%
712,C196,PHOSPHORUS 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
713,H106,PLASMA CELL / MULTIPLE MARKER : CD 138,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
714,H086,PLASMA CELL / PROGNOSTIC CLL MARKER : CD 38,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
